v	Miserables.txt 71, NotreDame_De_Paris.txt 27
va	Miserables.txt 1
vacancy	Miserables.txt 1
vacant	NotreDame_De_Paris.txt 4, Miserables.txt 4
vacarmini	Miserables.txt 1
vacation	Miserables.txt 2
vaccine	Miserables.txt 1
vache	Miserables.txt 1
vaches	NotreDame_De_Paris.txt 3
vachettes	NotreDame_De_Paris.txt 1
vacillate	Miserables.txt 2
vacillated	Miserables.txt 1
vacillating	NotreDame_De_Paris.txt 1, Miserables.txt 1
vacillation	Miserables.txt 3
vacuum	NotreDame_De_Paris.txt 1, Miserables.txt 1
vade	Miserables.txt 2
vadeboncoeur	Miserables.txt 1
vae	Miserables.txt 1
vagabond	NotreDame_De_Paris.txt 28, Miserables.txt 7
vagabondage	Miserables.txt 2, NotreDame_De_Paris.txt 1
vagabondism	Miserables.txt 1
vagabonds	NotreDame_De_Paris.txt 37, Miserables.txt 5
vagaries	NotreDame_De_Paris.txt 1
vagrancy	Miserables.txt 2
vagrant	NotreDame_De_Paris.txt 1, Miserables.txt 1
vagrants	Miserables.txt 3
vague	Miserables.txt 82, NotreDame_De_Paris.txt 15
vaguely	Miserables.txt 49, NotreDame_De_Paris.txt 7
vagueness	Miserables.txt 4
vaguest	Miserables.txt 1
vah	NotreDame_De_Paris.txt 1, Miserables.txt 1
vain	Miserables.txt 35, NotreDame_De_Paris.txt 14
vainest	NotreDame_De_Paris.txt 1
vainglory	Miserables.txt 1
vainly	NotreDame_De_Paris.txt 1, Miserables.txt 1
vair	Miserables.txt 1
vais	Miserables.txt 1
val	NotreDame_De_Paris.txt 6, Miserables.txt 6
valde	Miserables.txt 1
valence	NotreDame_De_Paris.txt 1
valenciennes	Miserables.txt 1
valentinian	Miserables.txt 1
valet	NotreDame_De_Paris.txt 4, Miserables.txt 2
valets	NotreDame_De_Paris.txt 1
valetudinarian	Miserables.txt 1
valiant	Miserables.txt 11, NotreDame_De_Paris.txt 3
valiantly	Miserables.txt 3, NotreDame_De_Paris.txt 1
valid	Miserables.txt 1
valise	Miserables.txt 11
valises	Miserables.txt 1
valjean	Miserables.txt 1119
vallee	Miserables.txt 1
valleret	NotreDame_De_Paris.txt 1
valley	Miserables.txt 14
valleys	Miserables.txt 2
vallier	NotreDame_De_Paris.txt 1
vallombrosa	Miserables.txt 1
valmont	NotreDame_De_Paris.txt 1
valmy	Miserables.txt 1
valogne	NotreDame_De_Paris.txt 1
valois	Miserables.txt 3
valor	Miserables.txt 2, NotreDame_De_Paris.txt 1
valsin	Miserables.txt 1
valuable	Miserables.txt 4
valuations	Miserables.txt 1
value	Miserables.txt 9, NotreDame_De_Paris.txt 3
valves	Miserables.txt 1
vampire	NotreDame_De_Paris.txt 4, Miserables.txt 1
vampires	NotreDame_De_Paris.txt 3
van	Miserables.txt 7, NotreDame_De_Paris.txt 1
vancouver	Miserables.txt 1
vandal	NotreDame_De_Paris.txt 1, Miserables.txt 1
vandalism	NotreDame_De_Paris.txt 1
vandals	NotreDame_De_Paris.txt 2
vandeleur	Miserables.txt 2
vandermeulen	Miserables.txt 2
vane	NotreDame_De_Paris.txt 1
vanes	NotreDame_De_Paris.txt 1
vanguard	Miserables.txt 3
vanguards	Miserables.txt 1
vanilla	NotreDame_De_Paris.txt 2, Miserables.txt 2
vanish	Miserables.txt 17, NotreDame_De_Paris.txt 1
vanished	Miserables.txt 54, NotreDame_De_Paris.txt 5
vanishes	Miserables.txt 8
vanishing	Miserables.txt 10, NotreDame_De_Paris.txt 3
vanities	NotreDame_De_Paris.txt 2, Miserables.txt 2
vanity	Miserables.txt 12, NotreDame_De_Paris.txt 4
vanquished	Miserables.txt 18, NotreDame_De_Paris.txt 1
vanquishing	Miserables.txt 1
vantana	Miserables.txt 1
vantane	Miserables.txt 1
vantbrace	Miserables.txt 1
vanterne	Miserables.txt 1
vantes	NotreDame_De_Paris.txt 1
vanum	Miserables.txt 1
